ticker,label,aboutness,rerank,cosine_sim,date,snippet
AAPL,unlabeled,1.0,-0.3047,0.67,2025-01-25 00:00:00,Apple Inc. (AAPL) Financial Report Date: 2025-01-25  AAPL recently announced strong quarterly earnin
AAPL,unlabeled,1.0,-0.3047,0.67,2025-01-25T00:00:00,Apple Inc. (AAPL) Financial Report Date: 2025-01-25  AAPL recently announced strong quarterly earnin
AAPL,unlabeled,1.0,-0.3047,0.67,2025-01-25T00:00:00,Apple Inc. (AAPL) Financial Report Date: 2025-01-25  AAPL recently announced strong quarterly earnin
AAPL,unlabeled,1.0,-3.9431,0.6552,2026-05-07T16:35:51,"Apple at $284: Buy, Sell or Hold? At $284, Apple (NASDAQ:AAPL) looks compelling at current levels. T"
AAPL,unlabeled,1.0,-1.7569,0.6341,2026-05-06T19:01:49,"March Quarter Results Bolster Confidence in Apple Inc (AAPL) Stock If you click 'Accept all', we and"
AAPL,unlabeled,0.75,-4.145,0.6136,2026-05-06T14:41:19,"Apple Just Discontinued Its Cheapest Mac Mini, but Wedbush Says It’s Good News for AAPL Stock If you"
AAPL,unlabeled,0.75,2.1611,0.5686,unknown,Date: 2025-01-25 Ticker: AAPL Source: bloomberg_export Headline: Apple supply chain shows signs of s
AAPL,unlabeled,1.0,-5.8015,0.5136,2026-05-05T20:48:57,"Apple shares hit new all-time closing high In Nasdaq trading today, shares of Apple Inc. rose to hit"
AAPL,unlabeled,1.0,-10.2526,0.5037,2026-05-05T15:48:59,Apple Hammers The Competition The gold standard of smartphone industry research is CounterPoint. It 
AAPL,unlabeled,1.0,-5.3958,0.4918,2026-05-07T00:48:01,"Apple shares hit new all-time closing high In Nasdaq trading today, shares of Apple Inc. rose to hit"
AAPL,unlabeled,0.5,-10.1108,0.4764,,Date                           Headline 0  2025-07-24     Apple beats earnings estimates 1  2025/07/
AAPL,unlabeled,1.0,-10.528,0.4521,2026-05-07T09:33:23,Apple Stock Buy or Sell in 2026? Strong Earnings Fuel Bullish Consensus as AI and iPhone Momentum Bu
AAPL,unlabeled,1.0,-4.5054,0.4478,2026-05-08T17:15:24,Intel stock hits fourth straight record high as Apple report fuels chip rally Intel and Apple have r
AAPL,unlabeled,1.0,-10.3631,0.3878,2026-05-05T16:07:00,Intel's Stock Surges to Fresh High on Deal Talks. Could Apple Be Its Next Customer? Intel shares soa
AAPL,unlabeled,1.0,-11.1288,0.3852,2026-05-08T14:06:11,Wedbush raises Apple price target to $400 Apple stock rose about 0.8% on Friday after Wedbush Securi
AAPL,unlabeled,1.0,-10.7354,0.3797,2026-05-06T00:33:09,Apple、M3 Ultraチップを搭載した「Mac Studio」のオプションから512GBメモリに続き256GBメモリを削除し、Mac miniも64GBメモリオプションが削除。 AppleがM3
AAPL,unlabeled,1.0,-10.213,0.3414,2026-05-06T20:09:58,Apple agrees to $250M settlement over iPhone AI marketing claims Apple agreed to a $250M settlement 
AAPL,unlabeled,0.0,-11.0831,0.2674,2026-05-07T15:05:56,"Corning Stock Is Surging on a Major Nvidia Deal: ‘AI Is Not Just a Technology Story, It Is a Manufac"
AAPL,unlabeled,0.0,-11.3622,0.2067,2026-05-08T13:42:00,Bybit Introduces 24/7 TradFi Perpetual Contracts Trading for Dozens of US Stocks and Global ETFs DUB
AAPL,unlabeled,0.0,-11.3617,0.2061,2026-05-08T13:12:00,Bybit Introduces 24/7 TradFi Perpetual Contracts Trading for Dozens of US Stocks and Global ETFs DUB
AAPL,unlabeled,0.0,-11.3804,0.1134,2026-05-08T12:24:18,"algorithm-stat added to PyPI Unified quant-finance toolkit: market data, metrics, charts, Monte Carl"
AAPL,unlabeled,0.0,-11.3581,0.1065,2026-05-06T16:29:00,"mcp-stockscreen added to PyPI MCP server for stock screening — technical, fundamental, options, news"
AAPL,unlabeled,0.0,-11.4007,0.0387,2026-05-05T22:37:40,cbfin added to PyPI Python SDK for the hosted cbfin Cboe market-data API. Python SDK for the hosted 
AAPL,unlabeled,0.0,-11.4878,0.0178,2026-05-06T20:58:23,"Show HN: Pay.sh – Discover, access, and pay for any API autonomously Article URL: https://github.com"
AAPL,unlabeled,0.0,-11.4005,0.0,2026-05-06T13:58:33,fastspec added to PyPI Dynamic OpenAPI and discovery spec client for Python — turn any API spec into
AAPL,unlabeled,0.0,-11.1064,0.0,unknown,Date 0    2025-07-24 1    2025-07-25 2    2025-07-28 3    2025-07-29 4    2025-07-30 5    2025-07-31
AAPL,unlabeled,0.0,-11.1064,0.0,,Date 0    2025-07-24 1    2025-07-25 2    2025-07-28 3    2025-07-29 4    2025-07-30 5    2025-07-31
MSFT,unlabeled,1.0,-0.9418,0.5873,2026-05-06T15:11:16,Microsoft Corporation (MSFT) Slid Amid Broad-Based Sell-Off in Software Companies If you click 'Acce
MSFT,unlabeled,1.0,-1.6799,0.521,2026-05-06T18:50:16,Microsoft (MSFT) Prce Target Trimmed by $25 Despite Better-than-Expected Q1 Results With an upside p
MSFT,unlabeled,0.75,-3.1532,0.5074,2026-05-06T19:01:33,"Is Microsoft Corp (MSFT) Stock More Enticing After FYQ3 Report? If you click 'Accept all', we and ou"
