run_id,ticker,run_number,mode,runtime_seconds,action_signal,evidence_count,writer_mode,error
AAPL-async-r1,AAPL,1,async,13.3636,buy,5,openai,
AAPL-sequential-r1,AAPL,1,sequential,17.0455,buy,5,openai,
AAPL-async-r2,AAPL,2,async,9.4025,hold,5,openai,
AAPL-sequential-r2,AAPL,2,sequential,19.5125,hold,5,openai,
AAPL-async-r3,AAPL,3,async,8.3074,buy,5,openai,
AAPL-sequential-r3,AAPL,3,sequential,14.8633,hold,5,openai,
MSFT-async-r1,MSFT,1,async,9.8524,hold,5,openai,
MSFT-sequential-r1,MSFT,1,sequential,15.5322,hold,5,openai,
MSFT-async-r2,MSFT,2,async,8.2225,hold,5,openai,
MSFT-sequential-r2,MSFT,2,sequential,14.6403,hold,5,openai,
MSFT-async-r3,MSFT,3,async,8.1967,hold,5,openai,
MSFT-sequential-r3,MSFT,3,sequential,14.7380,hold,5,openai,
NVDA-async-r1,NVDA,1,async,8.9122,hold,5,openai,
NVDA-sequential-r1,NVDA,1,sequential,19.1264,hold,5,openai,
NVDA-async-r2,NVDA,2,async,11.1896,hold,5,openai,
NVDA-sequential-r2,NVDA,2,sequential,21.2970,hold,5,openai,
NVDA-async-r3,NVDA,3,async,9.8781,hold,5,openai,
NVDA-sequential-r3,NVDA,3,sequential,16.3037,hold,5,openai,
